[CRITICAL]2021-03-29 16:25:28,968: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:25:29,104: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:25:29,283: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:25:40,248: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:25:40,431: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:25:40,577: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:25:40,685: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:25:40,891: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:25:40,967: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:25:51,964: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:25:52,127: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:25:52,233: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:25:52,354: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:25:52,518: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:25:52,636: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:26:03,617: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:26:03,751: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:26:03,931: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:26:04,037: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:26:04,260: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:26:04,337: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:26:15,390: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:26:15,570: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:26:15,735: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:26:15,854: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:26:16,004: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:26:16,064: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:26:27,091: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:26:27,225: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:26:27,449: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:26:27,643: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:26:27,868: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:26:28,047: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:26:39,058: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:26:39,177: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

