[CRITICAL]2021-03-31 10:23:36,323: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:37,102: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:37,178: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:37,256: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:37,346: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:37,447: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:37,474: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
pid=4780, ppid=11064, tid=6924

[CRITICAL]2021-03-31 10:25:48,032: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:48,118: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:48,204: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:48,296: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:48,400: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:48,490: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
